#,Event,Date,Venue,Location,Attendance
381,The Ultimate Fighter: Tournament of Champions Finale,"Dec 3, 2016",Palms Casino Resort,"Las Vegas, Nevada, U.S.","2,044"
380,UFC Fight Night: Whittaker vs. Brunson,"Nov 27, 2016",Rod Laver Arena,"Melbourne, Australia","13,721"
379,UFC Fight Night: Bader vs. Nogueira 2,"Nov 19, 2016",Ginásio do Ibirapuera,"São Paulo, Brazil","9,028"
378,UFC Fight Night: Mousasi vs. Hall 2,,The SSE Arena,"Belfast, Northern Ireland, U.K.","7,222"
377,UFC 205: Alvarez vs. McGregor,"Nov 12, 2016",Madison Square Garden,"New York City, New York, U.S.","20,427"
376,The Ultimate Fighter Latin America 3 Finale: dos Anjos vs. Ferguson,"Nov 5, 2016",Arena Ciudad de México,"Mexico City, Mexico","11,460"
—,UFC Fight Night: Lamas vs. Penn,"Oct 15, 2016",Mall of Asia Arena,"Pasay, Philippines",Cancelled
375,UFC 204: Bisping vs. Henderson 2,"Oct 8, 2016",Manchester Arena,"Manchester, England, U.K.","16,000"
374,UFC Fight Night: Lineker vs. Dodson,"Oct 1, 2016",Moda Center,"Portland, Oregon, U.S.","6,240"
373,UFC Fight Night: Cyborg vs. Länsberg,"Sep 24, 2016",Ginásio Nilson Nelson,"Brasília, Brazil","8,410"
372,UFC Fight Night: Poirier vs. Johnson,"Sep 17, 2016",State Farm Arena,"Hidalgo, Texas, U.S.","5,624"
371,UFC 203: Miocic vs. Overeem,"Sep 10, 2016",Quicken Loans Arena,"Cleveland, Ohio, U.S.","18,875"
370,UFC Fight Night: Arlovski vs. Barnett,"Sep 3, 2016",Barclaycard Arena,"Hamburg, Germany","11,763"
369,UFC on Fox: Maia vs. Condit,"Aug 27, 2016",Rogers Arena,"Vancouver, British Columbia, Canada","10,533"
368,UFC 202: Diaz vs. McGregor 2,"Aug 20, 2016",T-Mobile Arena,"Las Vegas, Nevada, U.S","15,539"
367,UFC Fight Night: Rodríguez vs. Caceres,"Aug 6, 2016",Vivint Smart Home Arena,"Salt Lake City, Utah, U.S.","6,689"
366,UFC 201: Lawler vs. Woodley,"Jul 30, 2016",Philips Arena,"Atlanta, Georgia, U.S.","10,240"
365,UFC on Fox: Holm vs. Shevchenko,"Jul 23, 2016",United Center,"Chicago, Illinois, U.S.","10,287"
364,UFC Fight Night: McDonald vs. Lineker,"Jul 13, 2016",Denny Sanford Premier Center,"Sioux Falls, South Dakota, U.S.","5,671"
363,UFC 200: Tate vs. Nunes,"Jul 9, 2016",T-Mobile Arena,"Las Vegas, Nevada, U.S","18,202"
362,The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,"Jul 8, 2016",MGM Grand Garden Arena,,"8,115"
361,UFC Fight Night: dos Anjos vs. Alvarez,"Jul 7, 2016",,,"7,760"
360,UFC Fight Night: MacDonald vs. Thompson,"Jun 18, 2016",TD Place Arena,"Ottawa, Ontario, Canada","10,490"
359,UFC 199: Rockhold vs. Bisping 2,"Jun 4, 2016",The Forum,"Inglewood, California, U.S.","15,587"
358,UFC Fight Night: Almeida vs. Garbrandt,"May 29, 2016",Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","5,193"
357,UFC 198: Werdum vs. Miocic,"May 14, 2016",Arena da Baixada,"Curitiba, Brazil","45,207"
356,UFC Fight Night: Overeem vs. Arlovski,"May 8, 2016",Rotterdam Ahoy,"Rotterdam, Netherlands","10,421"
355,UFC 197: Jones vs. Saint Preux,"Apr 23, 2016",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","11,352"
354,UFC on Fox: Teixeira vs. Evans,"Apr 16, 2016",Amalie Arena,"Tampa, Florida, U.S.","11,273"
353,UFC Fight Night: Rothwell vs. dos Santos,"Apr 10, 2016",Arena Zagreb,"Zagreb, Croatia","13,177"
352,UFC Fight Night: Hunt vs. Mir,"Mar 20, 2016",Brisbane Entertainment Centre,"Brisbane, Australia","9,552"
351,UFC 196: McGregor vs. Diaz,"Mar 5, 2016",MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","14,898"
